label,channel,start_s,best_step,SNR_raw_dB,SNR_dip_dB,Delta_SNR_dB,EEG_total_0p5_500_raw,EEG_total_0p5_500_dip,EEG_total_delta_pct,NonEEG_total_0p5_500_raw,EEG_0p5_40_raw,EEG_0p5_40_dip,EEG_0p5_40_delta_pct,EEG_80_250_raw,EEG_80_250_dip,HF1_suppress_pct,EEG_250_500_raw,EEG_250_500_dip,HF2_suppress_pct,HF_total_suppress_pct,selection,agg,snr_mode,model,is_artifact
W,T3,0.000000,600,-143.671749,-142.752129,0.919620,1.827271e-08,2.258213e-08,23.583922,4.255767e+06,1.717964e-08,2.261902e-08,31.661815,2.220598e-10,2.886070e-12,98.700325,1.239270e-10,2.205365e-13,99.822045,99.102105,mse,median,raw,eegnet,1
W,T3,30.000000,600,-154.720684,-154.823084,-0.102399,2.779522e-08,2.714752e-08,-2.330254,8.242111e+07,1.355244e-08,1.355767e-08,0.038607,7.293761e-09,7.033582e-09,3.567157,2.326067e-09,1.934872e-09,16.817900,6.771167,mse,mean,raw,Shallow ReLU Prior,0
N1,T3,60.000000,600,-153.804531,-153.868228,-0.063696,2.685040e-08,2.645947e-08,-1.455960,6.447686e+07,2.565262e-08,2.565326e-08,0.002517,1.981389e-10,1.863932e-11,90.592851,1.204023e-10,1.892956e-11,84.278204,88.205997,mse,mean,raw,Shallow ReLU Prior,0
N2,T3,360.000000,600,-148.749649,-148.776331,-0.026682,8.606958e-08,8.554241e-08,-0.612490,6.453786e+07,8.526155e-08,8.524209e-08,-0.022824,1.098019e-10,8.089747e-12,92.632484,9.160442e-11,1.168592e-11,87.243200,90.181257,mse,mean,raw,Shallow ReLU Prior,0
N3,T3,1.140000e+03,600,-145.932140,-145.990301,-0.058162,1.359823e-07,1.341734e-07,-1.330292,5.329623e+07,1.352370e-07,1.340583e-07,-0.871641,1.278238e-10,2.280256e-11,82.161085,1.025853e-10,4.732308e-11,53.869988,69.564862,mse,mean,raw,Shallow ReLU Prior,0
R,T3,6.840000e+03,600,-154.372864,-154.419594,-0.046731,2.273278e-08,2.248949e-08,-1.070242,6.222129e+07,2.214610e-08,2.224134e-08,0.430069,5.043820e-11,1.112173e-11,77.950217,7.660348e-11,1.452787e-11,81.035221,79.810246,mse,mean,raw,Shallow ReLU Prior,0
L,T3,2.856000e+04,600,-164.865994,-165.029491,-0.163497,7.284473e-09,7.015335e-09,-3.694682,2.233560e+08,5.148026e-09,5.054166e-09,-1.823220,8.707579e-10,7.574889e-10,13.008196,2.712510e-10,2.432573e-10,10.320551,12.369746,mse,mean,raw,Shallow ReLU Prior,0
W,T3,0.000000,600,-155.227725,-155.409315,-0.181590,1.827271e-08,1.752443e-08,-4.095062,6.089413e+07,1.717964e-08,1.696378e-08,-1.256476,2.220598e-10,3.490499e-11,84.281339,1.239270e-10,3.293743e-11,73.422122,80.391674,mse,mean,raw,Shallow ReLU Prior,1
W,T3,30.000000,1850,-154.720684,-154.727209,-0.006525,2.779522e-08,2.775349e-08,-0.150131,8.242111e+07,1.355244e-08,1.363320e-08,0.595940,7.293761e-09,7.300872e-09,-0.097490,2.326067e-09,2.176314e-09,6.438072,1.482794,snr,mean,raw,Shallow ReLU Prior,0
N1,T3,60.000000,100,-153.804531,-153.688595,0.115937,2.685040e-08,2.757683e-08,2.705497,6.447686e+07,2.565262e-08,2.730143e-08,6.427441,1.981389e-10,2.888475e-11,85.422042,1.204023e-10,4.257089e-11,64.643088,77.567920,snr,mean,raw,Shallow ReLU Prior,0
N2,T3,360.000000,700,-148.749649,-148.707516,0.042133,8.606958e-08,8.690864e-08,0.974868,6.453786e+07,8.526155e-08,8.660131e-08,1.571353,1.098019e-10,6.802227e-12,93.805057,9.160442e-11,1.684881e-11,81.607187,88.257110,snr,mean,raw,Shallow ReLU Prior,0
N3,T3,1.140000e+03,350,-145.932140,-145.624363,0.307777,1.359823e-07,1.459689e-07,7.343978,5.329623e+07,1.352370e-07,1.461443e-07,8.065313,1.278238e-10,1.671639e-11,86.922419,1.025853e-10,2.964534e-11,71.102051,79.878603,snr,mean,raw,Shallow ReLU Prior,0
R,T3,6.840000e+03,250,-154.372864,-154.344518,0.028345,2.273278e-08,2.288164e-08,0.654808,6.222129e+07,2.214610e-08,2.283344e-08,3.103669,5.043820e-11,2.010653e-11,60.137102,7.660348e-11,3.064359e-11,59.997653,60.052703,snr,mean,raw,Shallow ReLU Prior,0
L,T3,2.856000e+04,100,-164.865994,-164.833062,0.032932,7.284473e-09,7.339920e-09,0.761162,2.233560e+08,5.148026e-09,4.674782e-10,-90.919255,8.707579e-10,4.194052e-09,-381.654765,2.712510e-10,4.470141e-10,-64.796601,-306.394531,snr,mean,raw,Shallow ReLU Prior,0
W,T3,0.000000,800,-155.227725,-155.196389,0.031336,1.827271e-08,1.840503e-08,0.724144,6.089413e+07,1.717964e-08,1.782319e-08,3.746017,2.220598e-10,9.467210e-12,95.736659,1.239270e-10,1.114989e-11,91.002930,94.041092,snr,mean,raw,Shallow ReLU Prior,1
W,T3,30.000000,600,-154.720684,-154.713686,0.006998,2.779522e-08,2.784004e-08,0.161267,8.242111e+07,1.355244e-08,1.337807e-08,-1.286573,7.293761e-09,7.649844e-09,-4.882011,2.326067e-09,2.119594e-09,8.876507,-1.555222,mse,mean,raw,Shallow LeakyRelu,0
N1,T3,60.000000,600,-153.804531,-154.016613,-0.212081,2.685040e-08,2.557070e-08,-4.766032,6.447686e+07,2.565262e-08,2.544542e-08,-0.807699,1.981389e-10,2.066368e-11,89.571167,1.204023e-10,3.824209e-11,68.238340,81.507704,mse,mean,raw,Shallow LeakyRelu,0
N2,T3,360.000000,600,-148.749649,-148.797133,-0.047483,8.606958e-08,8.513366e-08,-1.087392,6.453786e+07,8.526155e-08,8.512643e-08,-0.158469,1.098019e-10,1.456109e-11,86.738883,9.160442e-11,3.398371e-11,62.902077,75.897202,mse,mean,raw,Shallow LeakyRelu,0
N3,T3,1.140000e+03,600,-145.932140,-145.965390,-0.033251,1.359823e-07,1.349452e-07,-0.762699,5.329623e+07,1.352370e-07,1.350916e-07,-0.107544,1.278238e-10,3.012708e-11,76.430962,1.025853e-10,6.599285e-11,35.670899,58.283112,mse,mean,raw,Shallow LeakyRelu,0
R,T3,6.840000e+03,600,-154.372864,-154.496439,-0.123575,2.273278e-08,2.209505e-08,-2.805328,6.222129e+07,2.214610e-08,2.210303e-08,-0.194471,5.043820e-11,1.206569e-11,76.078740,7.660348e-11,2.257442e-11,70.531206,72.733487,mse,mean,raw,Shallow LeakyRelu,0
L,T3,2.856000e+04,600,-164.865994,-165.089432,-0.223438,7.284473e-09,6.919175e-09,-5.014748,2.233560e+08,5.148026e-09,5.079274e-09,-1.335504,8.707579e-10,7.269037e-10,16.520675,2.712510e-10,2.541340e-10,6.310755,14.095525,mse,mean,raw,Shallow LeakyRelu,0
W,T3,0.000000,600,-155.227725,-155.292504,-0.064780,1.827271e-08,1.800217e-08,-1.480541,6.089413e+07,1.717964e-08,1.716907e-08,-0.061538,2.220598e-10,5.273328e-11,76.252779,1.239270e-10,3.995341e-11,67.760785,73.210997,mse,mean,raw,Shallow LeakyRelu,1
W,T3,30.000000,2600,-154.720684,-154.730281,-0.009596,2.779522e-08,2.773387e-08,-0.220720,8.242111e+07,1.355244e-08,1.362644e-08,0.546079,7.293761e-09,7.277289e-09,0.225844,2.326067e-09,2.159777e-09,7.148999,1.899848,snr,mean,raw,Shallow LeakyRelu,0
N1,T3,60.000000,850,-153.804531,-153.237244,0.567288,2.685040e-08,3.059704e-08,13.953790,6.447686e+07,2.565262e-08,3.025951e-08,17.958741,1.981389e-10,2.274274e-11,88.521878,1.204023e-10,3.504027e-11,70.897581,81.860170,snr,mean,raw,Shallow LeakyRelu,0
